team1,team2,venue,stage,winner
Oman,Papua New Guinea,"Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",Group B,Oman
Bangladesh,Scotland,"Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",Group B,Scotland
Ireland,Netherands,"Sheikh Zayed Stadium, Abu Dhabi",Group A,Ireland
Sri Lanka,Namibia,"Sheikh Zayed Stadium, Abu Dhabi",Group A,Sri Lanka
Scotland,Papua New Guinea,"Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",Group B,Scotland
Oman,Bangladesh,"Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",Group B,Bangladesh
Namibia,Netherlands,"Sheikh Zayed Stadium, Abu Dhabi",Group A,Namibia
Sri Lanka,Ireland,"Sheikh Zayed Stadium, Abu Dhabi",Group A,Sri Lanka
Bangladesh,Papua New Guinea,"Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",Group B,Bangladesh
Oman,Scotland,"Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",Group B,Scotland
Namibia,Ireland,"Sharjah Cricket Stadium, Sharjah",Group A,Namibia
Sri Lanka,Netherlands,"Sharjah Cricket Stadium, Sharjah",Group A,Sri Lanka
Australia,South Africa,"Sheikh Zayed Stadium, Abu Dhabi",Super 12 Group 1,Australia
England,West Indies,"Dubai International Cricket Stadium, Dubai",Super 12 Group 1,England
Sri Lanka,Bangladesh,"Sharjah Cricket Stadium, Sharjah",Super 12 Group 1,Sri lanka
India,Pakistan,"Dubai International Cricket Stadium, Dubai",Super 12 Group 2,Pakistan
Afghanistan,Scotland,"Sharjah Cricket Stadium, Sharjah",Super 12 Group 2,Afghanistan
South Africa,West Indies,"Dubai International Cricket Stadium, Dubai",Super 12 Group 1,South Africa
Pakistan,New Zealand,"Sharjah Cricket Stadium, Sharjah",Super 12 Group 2,Pakistan
England,Bangladesh,"Sheikh Zayed Stadium, Abu Dhabi",Super 12 Group 1,England
Scotland,Namibia,"Sheikh Zayed Stadium, Abu Dhabi",Super 12 Group 2,Namibia
Australia,Sri Lanka,"Dubai International Cricket Stadium, Dubai",Super 12 Group 1,Australia
West Indies,Bangladesh,"Sharjah Cricket Stadium, Sharjah",Super 12 Group 1,West Indies
Afghanistan,Pakistan,"Dubai International Cricket Stadium, Dubai",Super 12 Group 2,Pakistan
South Africa,Sri Lanka,"Sharjah Cricket Stadium, Sharjah",Super 12 Group 1,South Africa
England,Australia,"Dubai International Cricket Stadium, Dubai",Super 12 Group 1,England
Afghanistan,Namibia,"Sheikh Zayed Stadium, Abu Dhabi",Super 12 Group 2,Afghanistan
India,New Zealand,"Dubai International Cricket Stadium, Dubai",Super 12 Group 2,New Zealand
England,Sri Lanka,"Sharjah Cricket Stadium, Sharjah",Super 12 Group 1,England
South Africa,Bangladesh,"Sheikh Zayed Stadium, Abu Dhabi",Super 12 Group 1,South Africa
Pakistan,Namibia,"Sheikh Zayed Stadium, Abu Dhabi",Super 12 Group 2,Pakistan
New Zealand,Scotland,"Dubai International Cricket Stadium, Dubai",Super 12 Group 2,New Zealand
India,Afghanistan,"Sheikh Zayed Stadium, Abu Dhabi",Super 12 Group 2,India
Australia,Bangladesh,"Dubai International Cricket Stadium, Dubai",Super 12 Group 1,Australia
West Indies,Sri Lanka,"Sheikh Zayed Stadium, Abu Dhabi",Super 12 Group 1,Sri Lanka
New Zealand,Namibia,"Sharjah Cricket Stadium, Sharjah",Super 12 Group 2,New Zealand
India,Scotland,"Dubai International Cricket Stadium, Dubai",Super 12 Group 2,India
Australia,West Indies,"Sheikh Zayed Stadium, Abu Dhabi",Super 12 Group 1,Australia
England,South Africa,"Sharjah Cricket Stadium, Sharjah",Super 12 Group 1,South Africa
New Zealand,Afghanistan,"Sheikh Zayed Stadium, Abu Dhabi",Super 12 Group 2,New Zealand
Pakistan,Scotland,"Sharjah Cricket Stadium, Sharjah",Super 12 Group 2,Pakistan
India,Namibia,"Dubai International Cricket Stadium, Dubai",Super 12 Group 2,India
England,New Zealand,"Sheikh Zayed Stadium, Abu Dhabi",1st Semi Final,New Zealand
Pakistan,Australia,"Dubai International Cricket Stadium, Dubai",2nd Semi Final,Australia
New Zealand,Australia,"Dubai International Cricket Stadium, Dubai",Final,Australia
New Zealand,Australia,SCG,Super 12,New Zealand
Afghanistan,England,Optus Stadium,Super 12,England
Ireland,Sri lanka,Blundstone Arena,Super 12,Sri lanka
Pakistan,India,MCG,Super 12,India
Bangladesh,Netherlands,Blundstone Arena,Super 12,Bangladesh
Sri lanka,Australia,Optus Stadium,Super 12,Australia
Ireland,England,MCG,Super 12,Ireland
South Africa,Bangladesh,SCG,Super 12,South Africa
India,Netherlands,SCG,Super 12,India
Zimbabwe,Pakistan,Optus Stadium,Super 12,Zimbabwe
New Zealand,Sri lanka,SCG,Super 12,New Zealand
Bangladesh,Zimbabwe,The Gabba,Super 12,Bangladesh
Netherlands,Pakistan,Optus Stadium,Super 12,Pakistan
India,South Africa,Optus Stadium,Super 12,South Africa
Australia,Ireland,The Gabba,Super 12,Australia
Afghanistan,Sri lanka,The Gabba,Super 12,Sri lanka
England,New Zealand,The Gabba,Super 12,England
Zimbabwe,Netherlands,Adelaide Oval,Super 12,Netherlands
India,Bangladesh,Adelaide Oval,Super 12,India
Pakistan,South Africa,SCG,Super 12,Pakistan
New Zealand,Ireland,Adelaide Oval,Super 12,New Zealand
Australia,Afghanistan,Adelaide Oval,Super 12,Australia
Sri lanka,England,SCG,Super 12,England
Netherlands,South Africa,Adelaide Oval,Super 12,Netherlands
Bangladesh,Pakistan,Adelaide Oval,Super 12,Pakistan
India,Zimbabwe,MCG,Super 12,India
New Zealand,Pakistan,SCG,Semi-final,Pakistan
India,England,Adelaide Oval,Semi-final,England
Pakistan,England,MCG,Final,England
Canada,United States of America,Grand Prairie Stadium,Group,United States of America
Papua New Guinea,West Indies,Providence Stadium,Group,West Indies
Sri Lanka,South Africa,Nassau County International Cricket Stadium,Group,South Africa
Afghanistan,Uganda,Providence Stadium,Group,Afghanistan
Scotland,England,Kensington Oval,Group,No Result
Nepal,Netherlands,Grand Prairie Stadium,Group,Netherlands
Ireland,India,Nassau County International Cricket Stadium,Group,India
Papua New Guinea,Uganda,Providence Stadium,Group,Uganda
Australia,Oman,Kensington Oval,Group,Australia
Namibia,Scotland,Kensington Oval,Group,Scotland
Canada,Ireland,Nassau County International Cricket Stadium,Group,Canada
Afghanistan,New Zealand,Providence Stadium,Group,Afghanistan
Sri Lanka,Bangladesh,Grand Prairie Stadium,Group,Bangladesh
Netherlands,South Africa,Nassau County International Cricket Stadium,Group,South Africa
Australia,England,Kensington Oval,Group,Australia
West Indies,Uganda,Providence Stadium,Group,West Indies
India,Pakistan,Nassau County International Cricket Stadium,Group,India
Oman,Scotland,Sir Vivian Richards Stadium,Group,Scotland
South Africa,Bangladesh,Nassau County International Cricket Stadium,Group,South Africa
Canada,Pakistan,Nassau County International Cricket Stadium,Group,Pakistan
Namibia,Australia,Sir Vivian Richards Stadium,Group,Australia
United States of America,India,Nassau County International Cricket Stadium,Group,India
West Indies,New Zealand,Brian Lara Stadium,Group,West Indies
Bangladesh,Netherlands,Arnos Vale Ground,Group,Bangladesh
Oman,England,Sir Vivian Richards Stadium,Group,England
Papua New Guinea,Afghanistan,Brian Lara Stadium,Group,Afghanistan
South Africa,Nepal,Arnos Vale Ground,Group,South Africa
Uganda,New Zealand,Brian Lara Stadium,Group,New Zealand
England,Namibia,Sir Vivian Richards Stadium,Group,England
Scotland,Australia,Daren Sammy National Cricket Stadium,Group,Australia
Ireland,Pakistan,Central Broward Regional Park Stadium Turf Ground,Group,Pakistan
Bangladesh,Nepal,Arnos Vale Ground,Group,Bangladesh
Sri Lanka,Netherlands,Daren Sammy National Cricket Stadium,Group,Sri Lanka
Papua New Guinea,New Zealand,Brian Lara Stadium,Group,New Zealand
West Indies,Afghanistan,Daren Sammy National Cricket Stadium,Group,West Indies
South Africa,United States of America,Sir Vivian Richards Stadium,Group,South Africa
West Indies,England,Daren Sammy National Cricket Stadium,Group,England
India,Afghanistan,Kensington Oval,Group,India
Bangladesh,Australia,Sir Vivian Richards Stadium,Group,Australia
South Africa,England,Daren Sammy National Cricket Stadium,Group,South Africa
United States of America,West Indies,Kensington Oval,Group,West Indies
India,Bangladesh,Sir Vivian Richards Stadium,Group,India
Afghanistan,Australia,Arnos Vale Ground,Group,Afghanistan
United States of America,England,Kensington Oval,Group,England
West Indies,South Africa,Sir Vivian Richards Stadium,Group,South Africa
India,Australia,Daren Sammy National Cricket Stadium,Group,India
Afghanistan,Bangladesh,Arnos Vale Ground,Group,Afghanistan
Afghanistan,South Africa,Brian Lara Stadium,Semi Final,South Africa
India,England,Providence Stadium,Semi Final,India
India,South Africa,Kensington Oval,Final,India
